Date;Indonesian rupiah (IDR)
31-01-1979;139739.28
28-02-1979;154683.13
30-03-1979;148844.15
30-04-1979;152453.63
31-05-1979;171656.12
29-06-1979;166854.38
31-07-1979;189816.97
31-08-1979;196887.96
28-09-1979;242994.79
31-10-1979;239598.91
30-11-1979;258912.66
31-12-1979;324101.29
31-01-1980;421828.9
29-02-1980;400528.15
31-03-1980;316964.84
30-04-1980;329451.39
30-05-1980;323825.58
30-06-1980;414677.55
31-07-1980;394486.26
29-08-1980;391180.5
30-09-1980;419188.68
31-10-1980;398885.45
28-11-1980;385638.38
31-12-1980;367506.77
30-01-1981;322681.85
27-02-1981;315684.47
31-03-1981;319803.05
30-04-1981;306365.45
29-05-1981;300077.82
30-06-1981;267801.73
31-07-1981;259920.1
31-08-1981;266472.53
30-09-1981;263485.05
30-10-1981;262289.85
30-11-1981;263773.41
31-12-1981;249492.07
29-01-1982;241185.51
26-02-1982;239036.0
31-03-1982;207452.75
30-04-1982;228982.03
31-05-1982;212397.62
30-06-1982;202249.53
30-07-1982;229039.5
31-08-1982;273420.71
30-09-1982;265365.85
29-10-1982;287624.65
30-11-1982;289730.63
31-12-1982;310012.88
31-01-1983;352513.77
28-02-1983;293998.04
31-03-1983;285570.45
29-04-1983;415182.78
31-05-1983;425128.2
30-06-1983;410375.4
29-07-1983;414510.16
31-08-1983;410061.31
30-09-1983;399655.34
31-10-1983;377345.63
30-11-1983;400414.31
30-12-1983;380175.33
31-01-1984;371236.57
29-02-1984;387872.63
30-03-1984;388109.91
30-04-1984;377814.36
31-05-1984;386028.78
29-06-1984;378159.59
31-07-1984;349071.93
31-08-1984;362634.08
28-09-1984;369385.03
31-10-1984;351055.21
30-11-1984;350872.23
31-12-1984;331867.44
31-01-1985;325091.87
28-02-1985;311937.83
29-03-1985;344772.51
30-04-1985;356360.11
31-05-1985;342594.27
28-06-1985;348424.18
31-07-1985;369511.2
30-08-1985;375115.67
30-09-1985;364130.58
31-10-1985;360653.25
29-11-1985;358365.26
31-12-1985;366475.66
31-01-1986;387882.19
28-02-1986;384803.05
31-03-1986;387262.36
30-04-1986;389404.61
30-05-1986;391991.45
30-06-1986;393070.3
31-07-1986;399185.95
29-08-1986;439981.27
30-09-1986;691787.22
31-10-1986;660302.58
28-11-1986;638939.65
31-12-1986;632246.06
30-01-1987;657713.29
27-02-1987;651217.72
31-03-1987;697006.98
30-04-1987;746884.13
29-05-1987;766388.15
30-06-1987;737569.35
31-07-1987;753019.54
31-08-1987;743654.37
30-09-1987;756913.81
30-10-1987;758869.17
30-11-1987;796704.42
31-12-1987;776608.67
29-01-1988;780269.14
29-02-1988;708952.85
31-03-1988;755387.84
29-04-1988;748498.76
31-05-1988;775606.26
30-06-1988;741140.89
29-07-1988;765104.23
31-08-1988;733381.24
30-09-1988;673950.06
31-10-1988;709698.02
30-11-1988;726966.04
30-12-1988;704545.54
31-01-1989;689890.59
28-02-1989;681096.27
31-03-1989;687149.39
28-04-1989;665755.13
31-05-1989;649178.78
30-06-1989;664356.66
31-07-1989;649527.69
31-08-1989;642839.0
29-09-1989;647270.86
31-10-1989;672384.37
30-11-1989;731002.67
29-12-1989;715762.45
31-01-1990;745400.49
28-02-1990;747408.26
30-03-1990;652783.67
30-04-1990;669724.54
31-05-1990;671905.87
29-06-1990;643678.58
31-07-1990;683200.29
31-08-1990;732412.13
28-09-1990;750542.46
31-10-1990;728429.77
30-11-1990;733905.21
31-12-1990;743695.75
31-01-1991;697763.29
28-02-1991;708074.75
29-03-1991;703234.38
30-04-1991;677328.21
31-05-1991;712877.58
28-06-1991;720143.95
31-07-1991;709925.49
30-08-1991;687789.87
30-09-1991;698068.28
31-10-1991;694845.37
29-11-1991;740279.07
31-12-1991;706524.61
31-01-1992;708094.87
28-02-1992;713864.6
31-03-1992;691011.21
30-04-1992;680938.35
29-05-1992;677051.19
30-06-1992;699544.42
31-07-1992;732421.47
31-08-1992;697878.85
30-09-1992;715105.26
30-10-1992;701908.78
30-11-1992;689393.29
31-12-1992;685837.32
29-01-1993;697207.38
26-02-1993;683127.01
31-03-1993;695490.7
30-04-1993;738775.69
31-05-1993;784975.04
30-06-1993;802263.29
30-07-1993;842476.66
31-08-1993;785905.52
30-09-1993;759562.57
29-10-1993;780876.43
30-11-1993;785713.13
31-12-1993;824654.2
31-01-1994;799380.16
28-02-1994;818472.87
31-03-1994;838754.33
29-04-1994;811815.22
